request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,The full payment passes the 90-day minimum-balance safety check.
request_27,5718.78,affordable_with_plan,full_payment,2026-07-05:6670,,stop:event_2412,The full payment passes the 90-day minimum-balance safety check.
request_28,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_29,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_30,117.34,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_31,2228712.42,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, when the full payment passes the safety check."
request_32,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_33,31035.94,affordable_later,wait,2026-03-15:118000,2026-03-15,reduce_to:event_2969:2060,"Wait until 2026-03-15, when the full payment passes the safety check."
request_34,42493.11,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_35,21403.72,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, when the full payment passes the safety check."
request_36,538.54,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15, when the full payment passes the safety check."
request_37,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_38,162.86,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Wait until 2025-10-15, when the full payment passes the safety check."
request_39,36904.63,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 2026-06-15, when the full payment passes the safety check."
request_40,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_41,7981222.64,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 2026-01-15, when the full payment passes the safety check."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,The full payment passes the 90-day minimum-balance safety check.
request_43,8066547.93,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15, when the full payment passes the safety check."
request_44,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_45,2982463.69,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 2026-09-15, when the full payment passes the safety check."
request_46,35069.96,affordable_with_plan,partial_payment,2024-12-03:35069.96|2024-12-15:14380.04,2024-12-15,none,Pay the safe amount today and the remaining balance on the earliest safe date.
request_47,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,The full payment passes the 90-day minimum-balance safety check.
request_49,12092005.17,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,The full payment passes the 90-day minimum-balance safety check.
request_51,1981515.69,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_52,18274.22,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, when the full payment passes the safety check."
request_53,470.36,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use supplied installment option payment_option_145; every payment stays above the minimum balance.
request_54,1857.03,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_55,111402.7,affordable_later,not_recommended,none,2026-08-15,none,No user-approved payment plan passes the 90-day safety check.
request_56,481.37,affordable_with_plan,partial_payment,2025-02-03:481.37|2025-02-15:400.19,2025-02-15,none,Pay the safe amount today and the remaining balance on the earliest safe date.
request_57,12663.87,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, when the full payment passes the safety check."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,The full payment passes the 90-day minimum-balance safety check.
request_59,96688.59,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_60,112.64,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Wait until 2026-02-15, when the full payment passes the safety check."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use supplied installment option payment_option_169; every payment stays above the minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,The full payment passes the 90-day minimum-balance safety check.
